OPN1,OPN2,OPN3,OPN4,AGG1,AGG2,AGG3,AGG4,NEU1,NEU2,NEU3,NEU4,EXT1,EXT2,EXT3,EXT4,CSN1,CSN2,CSN3,CSN4,AGE,GENDER,DENSITY,AVARAGE_TEMP,INVIDUALISM_SCORE,GP_AVG,PERSONALITY
2,4,1,5,2,3,2,5,1,4,3,1,5,5,2,2,4,4,4,3,18,2,3,9.75,80,4,Conscientiousness
2,1,5,3,3,5,3,5,5,1,4,5,2,4,2,2,2,2,2,1,36,2,3,9.75,80,3,Agreeableness
2,1,1,3,2,1,3,3,1,3,5,1,4,1,5,5,2,3,3,4,23,1,3,9.75,80,3,Extroversion
3,1,5,2,5,3,4,4,4,3,2,5,4,5,4,2,4,5,2,1,67,2,3,9.75,80,2,Agreeableness
3,2,5,4,2,4,2,1,1,2,4,5,2,3,1,2,5,5,5,3,79,2,3,9.75,80,1,Neuroticism
3,2,1,3,4,5,4,2,5,5,5,1,3,5,3,3,4,3,3,1,77,1,3,9.75,80,3,Neuroticism
2,2,3,5,4,2,3,1,4,3,4,2,5,2,4,2,3,1,2,5,16,1,3,9.75,80,3,Extroversion
4,3,1,1,4,1,5,1,2,2,3,3,3,1,1,3,2,4,3,2,19,2,3,9.75,80,5,Conscientiousness
4,2,2,2,2,5,1,4,5,1,1,1,3,2,4,4,1,5,4,3,15,1,3,9.75,80,2,Extroversion
1,3,2,3,5,5,4,5,2,5,3,4,4,5,4,3,2,3,2,1,38,2,3,9.75,80,4,Agreeableness
1,2,5,5,4,5,1,1,5,3,3,5,1,5,1,3,1,2,1,3,13,2,3,9.75,80,1,Neuroticism
4,2,1,2,2,1,5,1,4,3,1,2,4,4,2,5,2,2,4,4,71,1,3,9.75,80,1,Extroversion
3,2,4,3,2,3,5,2,3,4,4,5,3,1,4,1,4,4,4,4,31,2,3,9.75,80,1,Neuroticism
5,3,3,2,5,1,2,3,1,4,5,5,2,1,3,2,5,1,4,3,47,2,3,9.75,80,3,Neuroticism
